sequence_length,lstm_units,dropout_rate,batch_size,epochs,learning_rate,n_layers,mean_val_loss,std_val_loss,fold_scores,n_samples
15,150,0.2,32,100,0.0001,1,0.00136665547809874,0.0007641680779193015,"[0.00029101927066221833, 0.0018140062456950545, 0.0019949409179389477]",992
15,100,0.3,64,100,0.0001,2,0.001368948636809364,0.000719684642939229,"[0.000458825466921553, 0.0014294524444267154, 0.0022185679990798235]",992
15,50,0.1,64,100,0.001,3,0.0013901531783631071,0.000846908843201541,"[0.00022272807836998254, 0.0017420881194993854, 0.0022056433372199535]",992
60,50,0.1,16,100,0.001,1,0.0013917269922482471,0.0009524674869113997,"[0.0002382042002864182, 0.002570842392742634, 0.0013661343837156892]",947
15,150,0.1,64,100,0.0001,2,0.001409695124796902,0.000717665876129046,"[0.00039849881432019174, 0.0018399409018456936, 0.001990645658224821]",992
15,100,0.1,64,100,0.0001,2,0.0014199158855869125,0.0007019076327856466,"[0.0004291598161216825, 0.0018622534116730094, 0.0019683344289660454]",992
30,150,0.2,32,50,0.0001,1,0.0014278469316195697,0.0007737061187991109,"[0.0004169883031863719, 0.0022959818597882986, 0.0015705706318840384]",977
60,150,0.1,16,50,0.0001,1,0.0014988054560186963,0.0006726533974081681,"[0.0006615883321501315, 0.002308559138327837, 0.0015262688975781202]",947
60,150,0.3,64,50,0.001,3,0.0014992156842102606,0.0005759328147411456,"[0.0008831496816128492, 0.0013458433095365763, 0.0022686540614813566]",947
60,150,0.3,32,50,0.001,3,0.0015000041651849945,0.0008298566772908319,"[0.0003346564481034875, 0.001962400507181883, 0.0022029555402696133]",947
15,150,0.1,32,50,0.0001,3,0.0015004761517047882,0.0007161938909234901,"[0.0005610031075775623, 0.0016424271743744612, 0.002297998173162341]",992
30,150,0.3,32,100,0.0001,1,0.0015194780620125432,0.0008117629703951686,"[0.00043675926281139255, 0.0023913350887596607, 0.0017303398344665766]",977
15,50,0.3,32,100,0.0001,2,0.0015649586954774957,0.0006990785971742831,"[0.0006007436313666403, 0.001857901457697153, 0.0022362309973686934]",992
15,50,0.3,64,100,0.001,3,0.0015666837183137734,0.0009181792729585299,"[0.0003090881509706378, 0.001915446133352816, 0.0024755168706178665]",992
15,100,0.3,32,100,0.0001,3,0.0015783807417998712,0.0007318121255144403,"[0.0005892274202778935, 0.0018093188991770148, 0.002336595905944705]",992
60,150,0.1,64,50,0.001,3,0.0015805858032157023,0.0009045398614275338,"[0.000373121234588325, 0.001818516873754561, 0.002550119301304221]",947
60,50,0.2,16,50,0.001,3,0.0015966091013979167,0.0010354689983265999,"[0.0001909438578877598, 0.0026549315080046654, 0.0019439519383013248]",947
60,50,0.2,64,100,0.001,1,0.0016024110761160653,0.0010199511189590363,"[0.0004902670625597239, 0.0029539717361330986, 0.001362994429655373]",947
15,150,0.2,64,50,0.0001,3,0.0016285282520887752,0.000814976042956937,"[0.0004815810243599117, 0.0021037014666944742, 0.00230030226521194]",992
30,100,0.1,64,50,0.0001,1,0.00163092299286897,0.0005769934468332599,"[0.0008298267493955791, 0.0021658800542354584, 0.001897062174975872]",977
15,50,0.3,16,100,0.001,3,0.0016331529477611184,0.0009213084665948498,"[0.0004452095599845052, 0.001763652078807354, 0.002690597204491496]",992
30,150,0.2,64,50,0.0001,2,0.0016346049184600513,0.0006405042297878735,"[0.0007474939338862896, 0.0022367292549461126, 0.0019195915665477514]",977
60,100,0.3,64,50,0.001,3,0.0017066124904279907,0.0005472522233738892,"[0.0009395567467436194, 0.0021792841143906116, 0.002000996610149741]",947
